,Parcel(s),year,Benchmark Status,ENERGY STAR Score,Percent Better than National Median Site EUI,Percent Better than National Median Source EUI,Percentage Better than National Median Source EUI,Reason for Exemption,Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Weather Normalized Site EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Previous Year ENERGY STAR Score,Two Years Ago ENERGY STAR Score,Current Year YoY Change,Previous Year YoY Change,Age In Years,Recalculated GHG Emissions Intensity (kgCO2e/ft2),Is Downtown
2,0010/001,2012,Complied,81.0,-34.5,,,,71.0,149.9,696.4,,70.7,149.7,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109
(37.807088, -122.418926)",133675,Commercial,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907.0,2023-04-01T00:00:00.000,Upcoming,,,,,105.0,5.209650271180101,False
3,0010/001,2013,Complied,74.0,-26.2,-26.2,,,81.3,166.9,786.5,5.7,81.6,167.2,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109
(37.807088, -122.418926)",133675,Commercial,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907.0,2023-04-01T00:00:00.000,Upcoming,81.0,,-7.0,,106.0,5.883673087712736,False
4,0010/001,2014,Complied,56.0,-6.5,-6.5,,,73.4,158.5,668.9,5.0,77.1,162.4,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109
(37.807088, -122.418926)",133675,Commercial,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907.0,2023-04-01T00:00:00.000,Upcoming,74.0,81.0,-18.0,-7.0,107.0,5.00392743594539,False
5,0010/001,2015,Complied,72.0,-23.0,-23.0,,,72.0,153.9,653.2,4.9,73.7,155.6,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109
(37.807088, -122.418926)",133675,Commercial,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907.0,2023-04-01T00:00:00.000,Upcoming,56.0,74.0,16.0,-18.0,108.0,4.8864783991023,False
6,0010/001,2016,Complied,75.0,-26.3,-26.3,,,68.2,149.7,652.4,4.9,71.5,153.2,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109
(37.807088, -122.418926)",133675,Commercial,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907.0,2023-04-01T00:00:00.000,Upcoming,72.0,56.0,3.0,16.0,109.0,4.880493734804563,False
7,0010/001,2017,Complied,76.0,-27.8,-27.8,,,66.6,148.4,586.8,4.4,68.1,150.1,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109
(37.807088, -122.418926)",133675,Commercial,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907.0,2023-04-01T00:00:00.000,Upcoming,75.0,72.0,1.0,3.0,110.0,4.389751262390125,False
8,0010/001,2018,Complied,61.0,-14.8,-14.8,,,59.8,119.1,499.1,3.7,59.8,119.2,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109
(37.807088, -122.418926)",133675,Commercial,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907.0,2023-04-01T00:00:00.000,Upcoming,76.0,75.0,-15.0,1.0,111.0,3.7336824387507015,False
9,0010/001,2019,Complied,73.0,-29.0,,-29.0,,55.6,105.1,456.7,3.4,57.8,107.4,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109
(37.807088, -122.418926)",133675,Commercial,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907.0,2023-04-01T00:00:00.000,Upcoming,61.0,76.0,12.0,-15.0,112.0,3.4164952309706376,False
12,0010/002,2012,Complied,95.0,-48.0,,,,55.9,115.1,704.18,,55.9,115.1,Argonaut Hotel-SV,495 JEFFERSON ST,94109,"495 Jefferson St
SAN FRANCISCO, CA 94109
(37.807616, -122.420646)",180000,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0010/002,1907.0,2020-04-01T00:00:00.000,Exempt - ENERGY STAR,,,,,105.0,3.9121111111111113,False
13,0010/002,2013,Complied,78.0,-25.3,-25.3,,,67.9,136.1,844.7,4.7,67.9,136.1,Argonaut Hotel-SV,495 JEFFERSON ST,94109,"495 Jefferson St
SAN FRANCISCO, CA 94109
(37.807616, -122.420646)",180000,Commercial,Hotel,http://propertymap.sfplanning.org/?&search=0010/002,1907.0,2020-04-01T00:00:00.000,Exempt - ENERGY STAR,95.0,,-17.0,,106.0,4.692777777777778,False
